,Date,A,B,Slope,intercept,Res_errorSD,Residual,SD
413,2/8/2021,639.0783081,2970.399902,5.240328672,-196.9442044,147.1200169,-181.6362753,-1.234612931
414,2/9/2021,648.5050659,2947.649902,5.240328672,-196.9442044,147.1200169,-253.7855844,-1.725024166
415,2/10/2021,651.1984863,2901.300049,5.240328672,-196.9442044,147.1200169,-314.2498456,-2.136010125
416,2/11/2021,637.2826538,2818.149902,5.240328672,-196.9442044,147.1200169,-324.4764566,-2.205522154
417,2/12/2021,634.8886108,2781.25,5.240328672,-196.9442044,147.1200169,-348.8307864,-2.371062713
418,2/15/2021,629.15271,2770.050049,5.240328672,-196.9442044,147.1200169,-329.972732,-2.242881281
419,2/16/2021,627.3071899,2726.949951,5.240328672,-196.9442044,147.1200169,-363.4016981,-2.4701037
420,2/17/2021,617.1821289,2695.5,5.240328672,-196.9442044,147.1200169,-341.7930016,-2.323225682
421,2/18/2021,610.4486694,2650.199951,5.240328672,-196.9442044,147.1200169,-351.8075097,-2.391296012
422,2/19/2021,604.7626953,2584.649902,5.240328672,-196.9442044,147.1200169,-387.5611856,-2.634319883
423,2/22/2021,586.1583862,2482.350098,5.240328672,-196.9442044,147.1200169,-392.3682952,-2.666994631
424,2/23/2021,595.5852051,2514.699951,5.240328672,-196.9442044,147.1200169,-409.4180716,-2.782884887
425,2/24/2021,598.4781494,2535.800049,5.240328672,-196.9442044,147.1200169,-403.4779525,-2.742508879
426,2/25/2021,594.6375732,2551.949951,5.240328672,-196.9442044,147.1200169,-367.202169,-2.495936153
427,2/26/2021,593.2908936,2498.600098,5.240328672,-196.9442044,147.1200169,-413.4949782,-2.810596321
428,3/1/2021,615.0374146,2556.149902,5.240328672,-196.9442044,147.1200169,-469.9040918,-3.194018745
429,3/2/2021,630.8485107,2602.300049,5.240328672,-196.9442044,147.1200169,-506.609285,-3.443510242
430,3/3/2021,625.1625366,2599.050049,5.240328672,-196.9442044,147.1200169,-480.0629119,-3.263069989
431,3/4/2021,616.7830811,2593.199951,5.240328672,-196.9442044,147.1200169,-442.001909,-3.004362821
432,3/5/2021,617.4315186,2587.75,5.240328672,-196.9442044,147.1200169,-450.8498856,-3.064504036
433,3/8/2021,599.9246216,2583.25,5.240328672,-196.9442044,147.1200169,-363.6079913,-2.47150591
434,3/9/2021,596.333374,2592.699951,5.240328672,-196.9442044,147.1200169,-335.3387225,-2.27935484
435,3/10/2021,601.6702881,2672.300049,5.240328672,-196.9442044,147.1200169,-283.7058085,-1.928397063
436,3/12/2021,582.7667847,2637.5,5.240328672,-196.9442044,147.1200169,-219.4452866,-1.491607269
437,3/15/2021,590.8967285,2669.449951,5.240328672,-196.9442044,147.1200169,-230.0989132,-1.564021797
438,3/16/2021,592.84198,2661.050049,5.240328672,-196.9442044,147.1200169,-248.6925724,-1.690406089
